"NOM,N,4,0","PRSTR,N,4,0","CODE,C,5","NAME,C,254"
393,20,,"3. Другие расходы, относимые к прочим"
394,10,27301, Платежи в возмещение причиненных убытков
395,10,27302, От списания недостач материальных ценностей
396,10,27303," От списания недостач денежной наличности, сумм по имеющим признаки подделки денежным знакам"
397,10,27304, От списания активов (требований) и не взысканной дебиторской задолженности
398,10,27305, Расходы на благотворительность и другие аналогичные расходы
399,10,27306," Расходы на осуществление спортивных мероприятий, отдыха, мероприятий культурно-просветительского характера и иных аналогичных мероприятий"
400,10,27307," Расходы, возникающие как последствия чрезвычайных обстоятельств хозяйственной деятельности"
401,10,27308, Другие расходы
402,10,27309, в том числе: отчисления в резервы по условным обязательствам некредитного характера
403,120,27300,Итого по символам 27301-27308
404,130,27000,Итого по разделу 7
405,140,20003,"Итого по группе расходов В ""Прочие расходы"" (раздел 7)"
406,140,20100,Итого расходов по разделам 1-7
407,10,01000," Прибыль до налогообложения (символ 10000 минус строка ""Итого расходов по разделам 1-7"")"
408,10,02000," Убыток до налогообложения(строка ""Итого расходов по разделам 1-7"" минус символ 10000)"
409,30,,"Раздел 8. Налог на прибыль (балансовый счет №70611, при составлении годового отчета - балансовый счет №70711)"
410,10,28101, Налог за прибыль
411,130,28000,Итого по разделу 8
412,150,20000,"Всего по Главе II ""Расходы"" (разделы 1-8)"
